user,comment,sentiment,clean
Kristin,"DELICIOUS! I made them more of a standard-size ~2TBS balls instead of gigantic as the recipe calls for & got 29 cookies. Experimented with whether to salt before they went in the oven, mid-way through as I was alternating trays in & out, or after they came out as the recipe calls for... it was a good excuse to ""test"" 3 cookies instead of one.",pos,delicious standard size tbs ball instead gigantic recipe call get cookie experiment salt go oven mid way alternate tray come recipe call good excuse test cookie instead
Beverly,"To make this kosher for Passover, also eliminate baki g powder!  Try several egg whites, instead.",neu,kosher passover eliminate baki g powder try egg white instead
Rochelle Winston Davies,Will it be too difficult to mix the cookie dough without an electric mixer with a paddle attachment?  I only have ordinary electric beaters.,neu,difficult mix cookie dough electric mixer paddle attachment ordinary electric beater
Shannon,"To say that this recipe is ""...just as good as the original"" is a vast understatement.  These are THE BEST chocolate chip cookies we've found.  Period.  Love the tahini which does just as described adds nuttiness and savoriness.  Terrific find!",pos,recipe good original vast understatement good chocolate chip cookie find period love tahini describe add nuttiness savoriness terrific find
Picacho 77,Love this recipe.  Made them twice - first time didn't refrigerate.  Second time did.  The refrigeration results in a much chewier cooke - our preference.  Will make these again & again.,pos,love recipe twice time refrigerate second time refrigeration result chewy cooke preference
Julie Carney,"I have made scores of chocolate chip cookie recipes, in a quest for the perfect one. I've shared them with lots of people too, as a makeshift focus group. I had a recipe that was all my own (as if) which included lots of 'stuff'--coconut, white chocolate, Heath chips, etc--which was the hands down bestseller...until these came along. Simple but interesting, and the salt-sweet makes them quite adult. They are my favorite, too and that's saying something!",pos,score chocolate chip cookie recipe quest perfect share lot people makeshift focus group recipe include lot ' stuff ' coconut white chocolate heath chip etc hand bestseller come simple interesting salt sweet make adult favorite say
Amber,"The refrigeration is definitely required, made a few test cookies without chilling the dough,baked at 325, they were crispy...But still tasted good. After overnight refrigeration they turned out nice and cakey, baked at 350,the dough does spread quite a bit. Keeper!",pos,refrigeration definitely require test cookie chill dough bake crispy taste good overnight refrigeration turn nice cakey baked dough spread bit keeper
Makali,"Not as good as they ought to be.  Can taste the tahini (which I love), but I'd make the classic ones instead.",neg,good ought taste tahini love classic one instead
tengelberg,"Did a test: baked 1/3 of the cookies after the dough spent an hour in the refrigerator, and also another 1/3 after 24 hours.  I didn't detect any difference.  Both were reasonably tender.  The tahini flavor was very subtle.",neu,test bake cookie dough spend hour refrigerator hour detect difference reasonably tender tahini flavor subtle
Nadia Conners,I have made these a few times. Like all chocolate cookies they are incredibly good when freshly baked. I will make them again eventhough the tahini is so subtle you wouldn't know it was there but I believe it does give them more depth. I wish two things and would love to hear thoughts on the following...could we make them a bit thicker? And what about a heavier tahini flavor approaching halva? Would it work to just addmore tahini? I used great Tahini by the way -- Soom from Philedelphia.,pos,time like chocolate cookie incredibly good freshly bake eventhough tahini subtle know believe depth wish thing love hear thought follow bit thick heavy tahini flavor approach halva work addmore tahini great tahini way soom philedelphia
js,Really good! I added chopped walnuts which gave them some good texture too.,pos,good add chop walnut give good texture
Melissa,"I had trouble with this one. The 325 temp was too low and the cookies spread a lot. I think the recipe needs two full eggs and 350 oven temp. The tahini needs to be really solid like a paste not the oily version that sometimes is available. I was disappointed because it was a lot of work + 12 hours freezing and then the cookies were really only ok. I think this one needs nuancing.  For the effort, I'd do the regular ol toll house mix and throw in some tahini to give it taste.",neg,trouble temp low cookie spread lot think recipe need egg oven temp tahini need solid like paste oily version available disappoint lot work hour freeze cookie ok think need nuancing effort regular ol toll house mix throw tahini taste
cynthia,I had some toasted sesame seeds which I added to the recipe (about two TBS) and they added a nice toothy snap.  Splurge and use your Maldon salt flakes for their sparkly deliciousness.  Everyone loves this cookie!,pos,toast sesame seed add recipe tbs add nice toothy snap splurge use maldon salt flake sparkly deliciousness love cookie
Anne,"I replaced the butter with coconut oil and the dough was stiff enough that I didn't think refrigeration was necessary.  The cookies were ready in 17 minutes and were very tender, well-formed and absolutely delicious.",pos,replace butter coconut oil dough stiff think refrigeration necessary cookie ready minute tender form absolutely delicious
Michelle B,"These cookies were fantastic, just the right amount of sweet and salty. I have never refrigerated my cookie dough, and now I always will. It seemed like the cold dough prevented the cookies from overcooking or burning and also held the chocolate chunks in stable position as the cookies melted into place. Final tip: We used a wooden spoon to mix and regular kosher salt to finish (we were kitchen-challenged that day), and these were still perfect! So delightful and so dangerously easy to make.",pos,cookie fantastic right sweet salty refrigerate cookie dough like cold dough prevent cookie overcook burn hold chocolate chunk stable position cookie melt place final tip wooden spoon mix regular kosher salt finish kitchen challenge day perfect delightful dangerously easy
Sarah,Does anyone know if the dough would last well in the freezer if we only wanted to make a few cookies at a time?,neu,know dough freezer want cookie time
Brianna,"After taste testing one fresh from the oven and one an hour later, they really are better later. I used a small ice cream scoop and put in the oven for 12 minutes, because I prefer slightly chewy and gooey cookies. No crispy edges for me.",pos,taste testing fresh oven hour later well later small ice cream scoop oven minute prefer slightly chewy gooey cookie crispy edge
RS,"Note: 1) It's not kosher for Passover if you use leavening and 2) if you use the matzo cake meal, use less - the dough was extremely dry and crumbly when I did it that way.",neu,note kosher passover use leavening use matzo cake meal use dough extremely dry crumbly way
Pamela,"I'd call these ""Patience Cookies""! Wait 12 hours overnight before cooking, then wait 20 minutes after they come out of the oven! What dough survived the overnight wait is in the oven now...we'll see how many cookies make it past the 20 minute wait mark!",neu,patience cookie wait hour overnight cooking wait minute come oven dough survive overnight wait oven cookie past minute wait mark
rsb56,"Nice change of pace, but the basic Nestle Toll House cookie still reigns supreme. Using an ice cream scoop produced gigantic cookies. Next time I'll make 'em a bit smaller. After refrigerating overnight, took dough out to bake and found that the second batch I baked turned out better than first; suspect the dough bakes better when it is closer to room temperature.",neg,nice change pace basic nestle toll house cookie reign supreme ice cream scoop produce gigantic cookie time 'em bit small refrigerating overnight take dough bake find second batch bake turn well suspect dough bake well close room temperature
Shira Sternberg,"I made these and although they were good, I don't think worth the time. I still can't find a choc chip recipe that beats the king rather flour choice chip and oatmeal cookie.",neg,good think worth time find choc chip recipe beat king flour choice chip oatmeal cookie
molly,Delicious! I wasn't patient or organized to give them 12 hours in the fridge.  Baked them right away and they were perfect.,pos,delicious patient organize hour fridge bake right away perfect
Picacho 77,A wonderful addition to the recipe box.  A real keeper.  I didn't refrigerate for 12 hours instead tried putting the dough in the freezer for 15 minutes because I couldn't wait to try the finished product.  Next time I'll try to plan ahead to see how it works to refrigerate for 12 hours.,pos,wonderful addition recipe box real keeper refrigerate hour instead try put dough freezer minute wait try finished product time try plan ahead work refrigerate hour
Ruthie,These are easy and tasty cookies to make. I over baked and missed the soft chewy texture but they are very tasty! I used bitter chocolate chips and that cut nicely on the sweetness. Recommended! Next time I will try to shorten cooking time on my oven so as to reach the texture meant in the recipe.,pos,easy tasty cookie baked miss soft chewy texture tasty bitter chocolate chip cut nicely sweetness recommend time try shorten cooking time oven reach texture mean recipe
12 Hour Fridge Time,Has anyone baked these right away after mixing instead of refrigerating for 12 hours?  How did they come out?,neu,bake right away mix instead refrigerate hour come
Lara,"We experimented by cooking 4 right away and putting the rest in the fridge for 12 hours.  The first batch was fantastic, so I'll be surprised if they are much better tomorrow.  The tahini flavor was very subtle- what do folks think would happen if I tried with 3/4 c or 1 c of tahini next time? (I always add more peanut butter than recommended in peanut butter cookies...)",pos,experiment cook right away put rest fridge hour batch fantastic surprised well tomorrow tahini flavor subtle folk think happen try c c tahini time add peanut butter recommend peanut butter cookie
Bella,These cookies r fabulous!,pos,cookie r fabulous
Cie,"Light and cakey, probably bc I cut sugar to almost 1/3. 1/2 the amount might be better. Half a batch made 30 2-inch cookies. Recommend salting immediately after baking, pressing the grains onto the surface gently with the back of a spoon. Be VERY conservative with the salt!",pos,light cakey probably bc cut sugar well half batch inch cookie recommend salt immediately bake press grain surface gently spoon conservative salt
GC,"I realised too late that the title is ""salted"" tahini chocolate chip cookies. The ingredients say only ""tahini,"" and don't specify which kind. In supermarket, there was salted and unsalted tahini and I bought unsalted. Does anyone know if the recipes in this article (and the related ones on using tahini in other desserts) all default to using salted tahini? What is unsalted tahini used for? And can I just mix salt into the unsalted tahini to make it salted tahini? Thx!",neu,realise late title salt tahini chocolate chip cookie ingredient tahini specify kind supermarket salt unsalted tahini buy unsalted know recipe article related one tahini dessert default salt tahini unsalte tahini mix salt unsalted tahini salt tahini thx
Catherine DiNardo,"These are amazing! I used a smaller ice cream scoop resulting in over 30 cookies that were nice and soft. Baked for 12 minutes, letting them rest on the pan for 5 minutes or else they would have fallen apart. Also, salted before baking. They came out nice and soft. Even better than peanut butter-chocolate cookies!",pos,amazing small ice cream scoop result cookie nice soft baked minute let rest pan minute fall apart salt bake come nice soft well peanut butter chocolate cookie
Judy,"I made these for Passover by subbing a mixture of matzo cake meal & potato starch for the flour (& used Pesadic vanilla, chocolate chips, tahini). I did refrigerate them overnight & that not only made them very tender, it also lessened the matzo meal smell. My 11-year old noticed the smell, but we could not taste the matzo meal at all. I think the tahini, which is nice but subtle, helps mask the matzo meal taste. I'll definitely make these again for Passover.",pos,passover sub mixture matzo cake meal potato starch flour pesadic vanilla chocolate chip tahini refrigerate overnight tender lessen matzo meal smell year old notice smell taste matzo meal think tahini nice subtle help mask matzo meal taste definitely passover
Janet,I loved these but cut the sugar by almost half; I'll use even less next time. I also substituted whole wheat flour for half the white.,pos,love cut sugar half use time substitute wheat flour half white
Monique,I did half light brown sugar and half granulated sugar without refrigerating the dough at all and it turned out amazing!,pos,half light brown sugar half granulated sugar refrigerate dough turn amazing
Daniel,"I didn't let them rest 12 hours. I still got very tasty and 'tender' cookies, and I don't even feel guilty about cheating.",pos,let rest hour get tasty ' tender ' cookie feel guilty cheat
Aurelie,Sugar reduction: I substituted 1/2 cup truvia baking blend for the 1 cup of sugar and a package of stevia sweetened dark chocolate baking chips (Lily's brand at Fresh Market). Delicious result! Also salted before baking as suggested by others.,pos,sugar reduction substitute cup truvia baking blend cup sugar package stevia sweeten dark chocolate baking chip lily brand fresh market delicious result salt baking suggest
MaryAlecia,"If I don't have an ""electric mixer fitted with the paddle attachment"", does anyone have a suggestion on how to approach this part of the recipe? A hand mixer? Force my husband to mix by hand?",neu,electric mixer fit paddle attachment suggestion approach recipe hand mixer force husband mix hand
Danielle,"I made these last night and was disappointed with the flavor - especially considering I waited an extra 12 hours to bake them! I like tahini, but didn't feel it added anything special to the cookies. As an FYI, I used a #20 (aka, 1/4 cup) scoop and was able to fit 8 cookies on a sheet. I'm not sure if that was too large because they took a lot longer than 16 min - more than 20 - to brown at the edges. And after cooling 20 min, they were crisp, not soft.",neg,night disappoint flavor especially consider wait extra hour bake like tahini feel add special cookie fyi aka cup scoop able fit cookie sheet sure large take lot long min brown edge cool min crisp soft
Nick C,"She's not joking - take them out at 16 minutes.  I had to leave on baking sheet a little longer (1-2 minutes) to allow them to firm up more prior to transferring to the wire rack (otherwise they would have fallen apart), but they turned out soft and perfect.",pos,joke minute leave baking sheet little long minute allow firm prior transfer wire rack fall apart turn soft perfect
Nancy,"Delicious--worked at altitude, too (9000+). Chilled in freezer for two hours. Subbed a few butterscotch chips since I was low on chocolate. Wouldn't recommend it; their taste is too fake and rather phony. Cookies still yummy though.",pos,delicious work altitude chill freezer hour sub butterscotch chip low chocolate recommend taste fake phony cookie yummy
Nancy,"Oops-I meant ""fake and potent.""",neg,oops mean fake potent
Nancy,One more thing--the salt flakes fell off if added after cooking.  I sprinkled over dough balls before baking.,neu,thing salt flake fall add cooking sprinkle dough ball bake
Susan,"These have a wonderful je ne sais quo about them. I thought of adding walnuts, but am glad I didn't. The subtle tahini flavor and chocolate are enough. (I used Ghirardeli 60 percent chips.) I cut the sugar by 1/4 c. with no problem. Never would I put as much salt on top as the photo shows! I even might cut back the salt in the recipe next time.",pos,wonderful je ne sais quo think add walnut glad subtle tahini flavor chocolate ghirardeli percent chip cut sugar c problem salt photo show cut salt recipe time
Susan,Also: Made them half as big as recipe suggested (got 36) and baked about 14 minutes with no problems.,pos,half big recipe suggest get bake minute problem
Susan,"My je ne sais quo in a previous note should have read je ne said quoi, for ""I don't know what.""",neu,je ne sais quo previous note read je ne say quoi know
ferguson,These spread a lot. 9 per cookie sheet and a few linked. Very good.,pos,spread lot cookie sheet link good
Carol Abrams,"I substituted matzo cake meal and used Passover baking powder to make the cookies for Passover, and ended up with tasty rocks! I  believe the problem is proportions, having subsequently looked up conversions from flour to matzo cake meal or potato starch in order to make some of our favorites kosher for Passover. 1 cup of regular flour should be replaced with only 5/8 cup of matzo cake meal or potato starch or a mixture of both to equal 5/8 cup.",neg,substitute matzo cake meal passover bake powder cookie passover end tasty rock believe problem proportion have subsequently look conversion flour matzo cake meal potato starch order favorite kosher passover cup regular flour replace cup matzo cake meal potato starch mixture equal cup
ellen,"I don't know if this was said elsewhere, but these cookies can never be made Kosher for Passover for the Ashekenazim.  Sesame seeds are considered kitniyot, and are forbidden.  Sephardim, on the other hand, do eat kitniyot (peas, beans, legumes) so for them, this recipe is ok for Pesach.",neu,know say cookie kosher passover ashekenazim sesame seed consider kitniyot forbid sephardi hand eat kitniyot peas bean legume recipe ok pesach
ellen,"On the subject of added leavening for Passover -- you may indeed use baking soda and baking powder.  As another contributor said, they are non-biological leavening agents, and in fact, in most Jewish neighborhoods, you can get baking powder labelled, ""kosher for passover"" -- I have it on my shelf right now.",neu,subject add leavening passover use bake soda baking powder contributor say non biological leaven agent fact jewish neighborhood bake powder label kosher passover shelf right
Cheryl,"They came out very ""cakey"" using cake meal.  I would try again with regular flour after Passover.",pos,come cakey cake meal try regular flour passover
Sue,Delicious. I used a #40 portion scoop and got 30 cookies. The first batch came out too light for my taste after 15 minutes so I increased the temperature to 350. The second and third batches are a lovely golden brown after the same amount of time. I found that the tahini paste gives the cookies a similar texture to a classic peanut butter cookie.,pos,delicious portion scoop get cookie batch come light taste minute increase temperature second batch lovely golden brown time find tahini paste give cookie similar texture classic peanut butter cookie
Ann from Sonoma,"These just didn't work for me with matzoh cake meal. They didn't spread despite all the space, very crumbly after I squashed them and baked a little longer. Disaster.",neg,work matzoh cake meal spread despite space crumbly squash bake little long disaster
Mary S.,"My kids (3,6,and 10) love this cookie! I'm so happy to sneak more protein into their cookies. Thanks for the great recipe.  PS - We were not willing to wait 12 hours so we put the dough in the freezer for one hour. They are still delicious!",pos,kid love cookie happy sneak protein cookie thank great recipe ps willing wait hour dough freezer hour delicious
Laurie,Fabulous - bakery quality and looks. Needed a bunch of extra baking time though (at least 20 min).,pos,fabulous bakery quality look need bunch extra baking time min
Robin,"Oh, what a keeper!  I used whole wheat pastry flour, and cut the white sugar to 1/2 cup, adding 1/2 cup light brown sugar (packed).  I also used two whole eggs.  Ghirardelli dark chocolate bits.  And because we love nuts, we added about 3/4 cup chopped pecans.  About the baking:  we made them half the size, baked for 13 minutes, and they were perfect.",pos,oh keeper wheat pastry flour cut white sugar cup add cup light brown sugar pack egg ghirardelli dark chocolate bit love nut add cup chop pecan baking half size bake minute perfect
candace,"Used bittersweet disks (fevres) to get that layered chocolate thing going, a la Jacques Torres choc chip cookies.  So good.",pos,bittersweet disk fevre layer chocolate thing go la jacques torres choc chip cookie good
Ginny L,I like crispy cookies so I baked these for 26 minutes. I made 19 cookies. They are delicious.,pos,like crispy cookie bake minute cookie delicious
Helen,How would someone adjust this recipe for high altitude?,neu,adjust recipe high altitude
Roni Jordan,"These are like chocolate halvah cookies - simply scrumptious.  I used Roland Sesame Tahini and TJ's 70% bittersweet chocolate broken into small chunks.  Used a 2 tbsp measuring spoon to portion out 17 cookies.  Baked for 16 minutes and allowed to cool about an hour before partaking.  Important to allow them room to spread.  12 fit nicely on a cookie sheet, and then baked 2nd batch of 5.  Sprinkled a bit of kosher salt over all.  A real winner - could be my favorite cookie ever.",pos,like chocolate halvah cookie simply scrumptious roland sesame tahini tj bittersweet chocolate break small chunk tbsp measure spoon portion cookie bake minute allow cool hour partake important allow room spread fit nicely cookie sheet bake nd batch sprinkle bit kosher salt real winner favorite cookie
Melinda,These are fantastic.  Perfect color and bake.  Flavor is light and not too sweet.   Less chocolate chips used. Will be a regular in the cookie line up.,pos,fantastic perfect color bake flavor light sweet chocolate chip regular cookie line
6by6,"Read this in the times yesterday and I already have the dough in the fridge.  The batter tastes great but waiting 12 hours will kill me.  I like the fact that it didn't make a mass of dough. Question: How many oz per cookie is an ""ice cream scoop""? I want these to turn out perfect before posting on 6by6Klinger Cooking",neu,read time yesterday dough fridge batter taste great wait hour kill like fact mass dough question oz cookie ice cream scoop want turn perfect post klinger cooking
MJ,Substituting matzoh cake meal for AP flour will not make this recipe kosher for Passover. The use of both baking powder and soda is prohibited for observant Jews  during the holiday.,neu,substitute matzoh cake meal ap flour recipe kosher passover use bake powder soda prohibit observant jews holiday
Zaira,Can tahini be substituted with another ingredient? I can't find that in any market of my city!,neu,tahini substitute ingredient find market city
Stephanie Bellows,I hate to ask - but the calories for this wonderful cookies?,neu,hate ask calorie wonderful cookie
Amanda,Can you make these with a small cookie scoop amount or will they burn if they are smaller?,neu,small cookie scoop burn small
Audrey,Can something be substituted for the Tahini? Sesame allergy.,neu,substitute tahini sesame allergy
C PAULL,RE: TAHINI Sauce or paste???,neu,tahini sauce paste
naomi,"Recipe ingredients refer to a ""note"" regarding the use of matzoh meal.  Could the EDITOR please include with recipe.  With thanks :)",neu,recipe ingredient refer note use matzoh meal editor include recipe thank
